,R_Wavelength,S_Wavelength,T_Wavelength,U_Wavelength,V_Wavelength,W_Wavelength,With_Label,Bottle_Material
0,470.63,85.67,24.32,14.11,24.67,15.5,0,0
1,470.63,85.67,24.32,14.11,24.67,15.5,0,0
2,470.63,85.67,24.32,14.11,24.67,15.5,0,0
3,470.63,85.67,24.32,14.11,24.67,15.5,0,0
4,470.63,85.67,24.32,14.11,24.67,15.5,0,0
5,470.63,85.67,24.32,14.11,24.67,15.5,0,0
6,470.63,85.67,24.32,14.11,24.67,15.18,0,0
7,470.63,85.67,24.32,14.11,24.67,15.5,0,0
8,470.63,85.67,24.32,14.11,24.67,15.5,0,0
9,470.63,85.67,24.32,14.11,24.67,15.5,0,0
10,1344.04,212.14,70.75,34.27,63.74,38.0,0,0
11,1341.15,212.14,70.75,34.27,63.74,38.0,0,0
12,1341.15,212.14,70.75,34.27,62.71,38.0,0,0
13,1339.7,212.14,70.75,34.27,62.71,38.0,0,0
14,1341.15,212.14,70.75,34.27,62.71,38.0,0,0
15,1341.15,212.14,70.75,34.27,62.71,38.0,0,0
16,1341.15,212.14,70.75,34.27,63.74,38.0,0,0
17,1341.15,212.14,70.75,34.27,62.71,38.0,0,0
18,1341.15,212.14,70.75,34.27,62.71,38.0,0,0
19,1341.15,212.14,70.75,34.27,62.71,38.0,0,0
20,167.46,17.34,7.74,4.03,12.34,4.6,0,0
21,167.46,17.34,7.74,4.03,12.34,4.67,0,0
22,166.02,17.34,7.74,4.03,12.34,4.67,0,0
23,166.02,17.34,7.74,4.03,12.34,4.67,0,0
24,166.02,17.34,7.74,4.03,12.34,4.67,0,0
25,164.58,17.34,7.74,4.03,12.34,4.6,0,0
26,166.02,17.34,7.74,4.03,12.34,4.67,0,0
27,164.58,17.34,7.74,4.03,12.34,4.67,0,0
28,164.58,17.34,7.74,4.03,12.34,4.67,0,0
29,166.02,17.34,7.74,4.03,12.34,4.67,0,0
30,1560.58,273.33,85.12,44.35,78.13,47.5,0,0
31,1550.48,272.31,85.12,44.35,78.13,47.5,0,0
32,1550.48,272.31,85.12,44.35,78.13,47.5,0,0
33,1550.48,272.31,85.12,44.35,78.13,47.87,0,0
34,1549.03,272.31,85.12,44.35,78.13,47.5,0,0
35,1549.03,272.31,85.12,44.35,78.13,47.5,0,0
36,1549.03,272.31,85.12,44.35,78.13,47.5,0,0
37,1549.03,272.31,85.12,44.35,78.13,47.5,0,0
38,1547.59,272.31,85.12,44.35,78.13,47.5,0,0
39,1450.87,271.29,79.59,41.32,77.1,44.0,0,0
40,447.53,70.37,23.21,12.09,21.59,12.5,0,0
41,447.53,70.37,23.21,12.09,21.59,12.5,0,0
42,444.64,69.35,22.11,12.09,21.59,11.5,0,0
43,447.53,68.33,23.21,12.09,21.59,12.5,0,0
44,447.53,70.37,23.21,12.09,21.59,12.5,0,0
45,447.53,70.37,23.21,12.09,21.59,12.5,0,0
46,447.53,70.37,23.21,12.09,21.59,12.84,0,0
47,447.53,70.37,23.21,12.09,21.59,12.5,0,0
48,447.53,70.37,23.21,12.09,21.59,12.84,0,0
49,447.53,70.37,23.21,12.09,21.59,12.5,0,0
50,690.06,116.27,35.37,19.15,35.98,21.5,0,0
51,688.62,116.27,35.37,19.15,35.98,21.5,0,0
52,688.62,116.27,35.37,19.15,35.98,21.5,0,0
53,688.62,116.27,35.37,19.15,35.98,21.5,0,0
54,687.18,116.27,35.37,19.15,35.98,21.5,0,0
55,687.18,116.27,35.37,19.15,35.98,21.5,0,0
56,687.18,116.27,35.37,19.15,35.98,19.5,0,0
57,687.18,116.27,35.37,19.15,35.98,21.5,0,0
58,687.18,116.27,35.37,19.15,35.98,21.5,0,0
59,687.18,115.25,35.37,19.15,34.95,21.5,0,0
60,640.98,109.13,34.27,18.14,32.9,18.5,0,0
61,639.54,109.13,34.27,18.14,32.9,18.5,0,0
62,639.54,109.13,34.27,18.14,32.9,18.5,0,0
63,639.54,109.13,34.27,18.14,32.9,18.68,0,0
64,639.54,109.13,34.27,18.14,32.9,18.5,0,0
65,639.54,109.13,34.27,18.14,32.9,18.5,0,0
66,639.54,109.13,34.27,18.14,32.9,18.5,0,0
67,639.54,109.13,34.27,18.14,32.9,18.5,0,0
68,639.54,109.13,34.27,18.14,32.9,18.5,0,0
69,639.54,109.13,34.27,18.14,32.9,18.5,0,0
70,3408.45,648.65,192.35,106.83,180.93,10.5,0,0
71,3405.56,649.67,192.35,105.82,180.93,109.75,0,0
72,3404.12,649.67,192.35,105.82,180.93,109.75,0,0
73,3402.68,649.67,192.35,105.82,180.93,10.5,0,0
74,3402.68,649.67,192.35,106.83,180.93,10.5,0,0
75,3401.23,649.67,192.35,105.82,180.93,108.58,0,0
76,3399.79,648.65,192.35,105.82,180.93,108.58,0,0
77,3401.23,648.65,192.35,106.83,180.93,109.75,0,0
78,3404.12,648.65,192.35,106.83,180.93,10.5,0,0
79,3402.68,649.67,192.35,106.83,180.93,10.5,0,0
80,1426.32,81.59,53.06,23.18,53.46,19.5,0,0
81,1427.77,81.59,53.06,23.18,53.46,19.5,0,0
82,1426.32,81.59,54.17,23.18,53.46,19.5,0,0
83,1427.77,81.59,54.17,23.18,53.46,19.85,0,0
84,1426.32,81.59,54.17,23.18,53.46,19.5,0,0
85,1423.44,81.59,54.17,23.18,53.46,18.68,0,0
86,1424.88,81.59,54.17,23.18,53.46,19.5,0,0
87,1421.99,82.61,54.17,23.18,53.46,18.5,0,0
88,1424.88,82.61,54.17,23.18,53.46,19.5,0,0
89,1423.44,82.61,54.17,23.18,53.46,19.5,0,0
90,101.06,13.26,5.53,3.02,8.22,3.5,0,0
91,101.06,14.28,5.53,3.02,9.25,3.5,0,0
92,93.84,14.28,5.53,3.02,9.25,2.34,0,0
93,101.06,13.26,5.53,3.02,8.22,3.5,0,0
94,101.06,14.28,5.53,3.02,9.25,3.5,0,0
95,96.72,10.2,5.53,3.02,6.17,2.34,0,0
96,101.06,14.28,5.53,3.02,9.25,3.5,0,0
97,101.06,14.28,5.53,3.02,9.25,3.5,0,0
98,101.06,14.28,5.53,3.02,9.25,3.5,0,0
99,101.06,14.28,5.53,3.02,9.25,3.5,0,0
100,564.47,165.22,37.59,29.23,42.15,24.0,1,0
101,564.47,165.22,37.59,29.23,42.15,24.0,1,0
102,564.47,165.22,37.59,29.23,42.15,24.0,1,0
103,564.47,165.22,37.59,29.23,42.15,24.0,1,0
104,564.47,165.22,37.59,29.23,42.15,24.0,1,0
105,564.47,165.22,37.59,29.23,42.15,24.0,1,0
106,564.47,165.22,37.59,29.23,42.15,24.0,1,0
107,564.47,165.22,37.59,29.23,42.15,24.0,1,0
108,564.47,165.22,37.59,29.23,42.15,24.0,1,0
109,564.47,165.22,37.59,29.23,42.15,24.0,1,0
110,301.72,59.15,18.79,11.09,16.45,9.34,1,0
111,301.72,59.15,18.79,11.09,16.45,9.34,1,0
112,301.72,59.15,18.79,11.09,16.45,9.3,1,0
113,301.72,59.15,18.79,11.09,16.45,9.34,1,0
114,301.72,59.15,18.79,11.09,16.45,9.0,1,0
115,301.72,59.15,18.79,11.09,16.45,9.34,1,0
116,301.72,59.15,18.79,11.09,16.45,9.34,1,0
117,301.72,59.15,18.79,11.09,16.45,9.34,1,0
118,301.72,59.15,18.79,11.09,16.45,9.34,1,0
119,301.72,59.15,18.79,11.09,16.45,9.34,1,0
120,3147.15,437.53,184.61,98.77,102.8,95.0,1,0
121,3142.82,646.61,184.61,98.77,153.18,95.0,1,0
122,3141.38,646.61,184.61,98.77,153.18,95.0,1,0
